,,Tone,,,,Pulse,,,,Hum,,,,Piano,,
,,Pitch,Amplitude,Stimuli,,Pitch,Amplitude,Stimuli,,Pitch,Amplitude,Stimuli,,Pitch,Amplitude,Stimuli
Amplitude,High,261.6,80.1,,,261.6,78.8,,,261.6,79.9,,,262.4,80.3,
,Low,261.6,53.1,,,261.6,53,,,261.6,52.9,,,262.4,53.3,
,,,,,,,,,,,,,,,,
Pitch,High,??,63,,,??,63,,,??,63,,,??,63,
,Low,??,72.1,,,??,72.1,,,??,72.1,,,??,72.1,
,,,,,,,,,,,,,,,,
Noise,High,261.9,64.9,,,261.9,64.9,,,261.9,64.9,,,261.9,64.9,
,Low,261.6,65.1,,,261.6,65.1,,,261.6,65.1,,,261.6,65.1,
